Leg0,Leg1,Spine,Beta_Acc,Beta
624.00,1176.00,213.04,0.37,6.87
624.00,1176.00,213.04,-0.98,6.84
612.00,1188.00,214.38,0.18,6.84
612.00,1188.00,214.38,1.89,6.90
600.00,1200.00,215.70,-0.91,6.87
600.00,1200.00,215.70,-0.43,6.86
588.00,1212.00,217.01,-1.71,6.81
576.00,1224.00,218.29,-0.85,6.79
576.00,1224.00,218.29,-1.77,6.74
564.00,1236.00,219.57,-0.91,6.71
564.00,1236.00,219.57,5.06,6.85
552.00,1248.00,220.82,-0.67,6.83
552.00,1248.00,220.82,-2.32,6.77
540.00,1260.00,222.06,0.91,6.80
540.00,1260.00,222.06,-1.34,6.76
528.00,1272.00,223.27,-0.55,6.74
516.00,1284.00,224.47,1.71,6.79
516.00,1284.00,224.47,3.35,6.88
504.00,1296.00,225.65,-1.34,6.85
504.00,1296.00,225.65,-1.71,6.80
492.00,1308.00,226.81,-2.80,6.72
492.00,1308.00,226.81,-1.46,6.68
480.00,1320.00,227.95,-2.26,6.62
480.00,1320.00,227.95,-2.68,6.54
468.00,1332.00,229.06,1.95,6.60
468.00,1332.00,229.06,-1.46,6.56
456.00,1344.00,230.16,-1.22,6.52
444.00,1356.00,231.23,-3.72,6.42
444.00,1356.00,231.23,-2.44,6.35
432.00,1368.00,232.28,-2.26,6.29
432.00,1368.00,232.28,-1.40,6.25
420.00,1380.00,233.30,-1.46,6.21
420.00,1380.00,233.30,-1.59,6.17
408.00,1392.00,234.31,-3.66,6.07
408.00,1392.00,234.31,-4.27,5.95
396.00,1404.00,235.29,-4.15,5.84
384.00,1416.00,236.24,-5.55,5.68
384.00,1416.00,236.24,-7.38,5.48
372.00,1428.00,237.17,-15.49,5.05
372.00,1428.00,237.17,-23.78,4.39
360.00,1440.00,238.07,-45.43,3.13
360.00,1440.00,238.07,-95.79,0.48
348.00,1452.00,238.95,17.13,0.96
348.00,1452.00,238.95,-3.11,0.87
336.00,1464.00,239.80,0.30,0.88
324.00,1476.00,240.63,-4.33,0.76
324.00,1476.00,240.63,1.59,0.80
312.00,1488.00,241.43,-2.38,0.74
312.00,1488.00,241.43,1.04,0.77
300.00,1500.00,242.20,0.37,0.78
300.00,1500.00,242.20,-1.22,0.74
288.00,1512.00,242.94,-1.10,0.71
288.00,1512.00,242.94,0.37,0.72
276.00,1524.00,243.66,1.77,0.77
264.00,1536.00,244.35,2.93,0.85
264.00,1536.00,244.35,1.59,0.90
252.00,1548.00,245.01,0.61,0.91
