time,x,y,z
23.264,-0.000680,0.026263,0.031190
23.296,-0.000680,0.026306,0.031340
23.328,-0.000680,0.026350,0.031489
23.360,-0.000680,0.026394,0.031638
23.392,-0.000680,0.026439,0.031787
23.424,-0.000680,0.026485,0.031936
23.456,-0.000680,0.026531,0.032084
23.488,-0.000680,0.026578,0.032233
23.520,-0.000680,0.026625,0.032382
23.552,-0.000680,0.026673,0.032530
23.584,-0.000680,0.026722,0.032679
23.616,-0.000680,0.026771,0.032827
23.648,-0.000680,0.026821,0.032976
23.680,-0.000680,0.026872,0.033124
23.712,-0.000680,0.026923,0.033272
23.744,-0.000680,0.026975,0.033421
23.776,-0.000680,0.027028,0.033569
23.808,-0.000680,0.027081,0.033717
23.840,-0.000680,0.027134,0.033865
23.872,-0.000680,0.027188,0.034013
23.904,-0.000680,0.027243,0.034161
23.936,-0.000680,0.027299,0.034309
23.968,-0.000680,0.027355,0.034456
24.000,-0.000680,0.027412,0.034604
24.032,-0.000680,0.027469,0.034751
24.064,-0.000680,0.027527,0.034899
24.096,-0.000680,0.027585,0.035046
24.128,-0.000680,0.027645,0.035194
24.160,-0.000680,0.027704,0.035341
24.192,-0.000680,0.027765,0.035488
24.224,-0.000680,0.027826,0.035635
24.256,-0.000680,0.027887,0.035782
24.288,-0.000680,0.027949,0.035929
24.320,-0.000680,0.028012,0.036076
24.352,-0.000680,0.028076,0.036223
24.384,-0.000680,0.028140,0.036369
24.416,-0.000680,0.028204,0.036516
24.448,-0.000680,0.028269,0.036662
24.480,-0.000680,0.028335,0.036809
24.512,-0.000680,0.028402,0.036955
24.544,-0.000680,0.028469,0.037101
24.576,-0.000680,0.028536,0.037247
24.608,-0.000680,0.028604,0.037393
24.640,-0.000680,0.028673,0.037539
24.672,-0.000680,0.028743,0.037685
24.704,-0.000680,0.028813,0.037831
24.736,-0.000680,0.028883,0.037977
24.768,-0.000680,0.028954,0.038122
24.800,-0.000680,0.029026,0.038268
24.832,-0.000680,0.029099,0.038413
24.864,-0.000680,0.029172,0.038558
24.896,-0.000680,0.029245,0.038704
24.928,-0.000680,0.029319,0.038849
24.960,-0.000680,0.029394,0.038994
24.992,-0.000680,0.029470,0.039138
25.024,-0.000680,0.029546,0.039283
25.056,-0.000680,0.029622,0.039428
25.088,-0.000680,0.029699,0.039572
25.120,-0.000680,0.029777,0.039717
25.152,-0.000680,0.029855,0.039861
25.184,-0.000680,0.029919,0.039978
25.248,-0.000680,0.029993,0.040111
25.376,-0.000680,0.030043,0.040201
28.512,-0.000680,0.030004,0.040081
28.544,-0.000680,0.029925,0.039937
28.576,-0.000680,0.029846,0.039793
28.608,-0.000680,0.029768,0.039648
28.640,-0.000680,0.029690,0.039503
28.672,-0.000680,0.029614,0.039359
