time,x,y,z
15.424,-0.000680,-0.010565,0.031953
15.456,-0.000680,-0.010635,0.032082
15.488,-0.000680,-0.010706,0.032212
15.520,-0.000680,-0.010777,0.032341
15.552,-0.000680,-0.010849,0.032470
15.584,-0.000680,-0.010920,0.032599
15.616,-0.000680,-0.010992,0.032728
15.648,-0.000680,-0.011064,0.032856
15.680,-0.000680,-0.011136,0.032984
15.712,-0.000680,-0.011209,0.033113
15.744,-0.000680,-0.011282,0.033241
15.776,-0.000680,-0.011355,0.033369
15.808,-0.000680,-0.011428,0.033496
15.840,-0.000680,-0.011501,0.033624
15.872,-0.000680,-0.011575,0.033751
15.904,-0.000680,-0.011649,0.033878
15.936,-0.000680,-0.011723,0.034005
15.968,-0.000680,-0.011797,0.034132
16.000,-0.000680,-0.011872,0.034258
16.032,-0.000680,-0.011947,0.034384
16.064,-0.000680,-0.012022,0.034511
16.096,-0.000680,-0.012097,0.034636
16.128,-0.000680,-0.012173,0.034762
16.160,-0.000680,-0.012248,0.034888
16.192,-0.000680,-0.012324,0.035013
16.224,-0.000680,-0.012400,0.035138
16.256,-0.000680,-0.012477,0.035263
16.288,-0.000680,-0.012553,0.035388
16.320,-0.000680,-0.012630,0.035512
16.352,-0.000680,-0.012707,0.035636
16.384,-0.000680,-0.012784,0.035760
16.416,-0.000680,-0.012861,0.035884
16.448,-0.000680,-0.012939,0.036008
16.480,-0.000680,-0.013017,0.036131
16.512,-0.000680,-0.013094,0.036254
16.544,-0.000680,-0.013173,0.036377
16.576,-0.000680,-0.013251,0.036500
16.608,-0.000680,-0.013330,0.036622
16.640,-0.000680,-0.013408,0.036744
16.672,-0.000680,-0.013487,0.036867
16.704,-0.000680,-0.013566,0.036990
16.736,-0.000680,-0.013646,0.037113
16.768,-0.000680,-0.013725,0.037236
16.800,-0.000680,-0.013805,0.037359
16.832,-0.000680,-0.013885,0.037481
16.864,-0.000680,-0.013965,0.037603
16.896,-0.000680,-0.014045,0.037725
16.928,-0.000680,-0.014126,0.037847
16.960,-0.000680,-0.014206,0.037968
16.992,-0.000680,-0.014287,0.038089
17.024,-0.000680,-0.014368,0.038210
17.056,-0.000680,-0.014449,0.038330
17.088,-0.000680,-0.014531,0.038451
17.120,-0.000680,-0.014612,0.038571
17.152,-0.000680,-0.014677,0.038666
17.216,-0.000680,-0.014752,0.038774
17.408,-0.000680,-0.014810,0.038858
20.672,-0.000680,-0.014734,0.038748
20.704,-0.000680,-0.014652,0.038629
20.736,-0.000680,-0.014570,0.038509
20.768,-0.000680,-0.014488,0.038389
20.800,-0.000680,-0.014407,0.038269
20.832,-0.000680,-0.014326,0.038148
20.864,-0.000680,-0.014245,0.038027
20.896,-0.000680,-0.014164,0.037906
20.928,-0.000680,-0.014083,0.037785
20.960,-0.000680,-0.014003,0.037663
20.992,-0.000680,-0.013923,0.037541
21.024,-0.000680,-0.013843,0.037419
21.056,-0.000680,-0.013763,0.037297
21.088,-0.000680,-0.013683,0.037175
21.120,-0.000680,-0.013604,0.037052
21.152,-0.000680,-0.013525,0.036929
21.184,-0.000680,-0.013446,0.036806
21.216,-0.000680,-0.013367,0.036682
21.248,-0.000680,-0.013288,0.036559
21.280,-0.000680,-0.013210,0.036437
21.312,-0.000680,-0.013132,0.036315
21.344,-0.000680,-0.013054,0.036192
21.376,-0.000680,-0.012976,0.036069
21.408,-0.000680,-0.012898,0.035945
21.440,-0.000680,-0.012821,0.035822
21.472,-0.000680,-0.012744,0.035698
21.504,-0.000680,-0.012667,0.035574
21.536,-0.000680,-0.012590,0.035450
21.568,-0.000680,-0.012513,0.035325
21.600,-0.000680,-0.012437,0.035201
21.632,-0.000680,-0.012361,0.035076
21.664,-0.000680,-0.012285,0.034951
21.696,-0.000680,-0.012209,0.034825
21.728,-0.000680,-0.012134,0.034700
21.760,-0.000680,-0.012058,0.034574
21.792,-0.000680,-0.011983,0.034448
21.824,-0.000680,-0.011908,0.034322
21.856,-0.000680,-0.011834,0.034196
21.888,-0.000680,-0.011759,0.034069
21.920,-0.000680,-0.011685,0.033943
21.952,-0.000680,-0.011611,0.033816
21.984,-0.000680,-0.011537,0.033689
22.016,-0.000680,-0.011464,0.033561
22.048,-0.000680,-0.011391,0.033434
22.080,-0.000680,-0.011317,0.033306
22.112,-0.000680,-0.011245,0.033178
22.144,-0.000680,-0.011172,0.033050
22.176,-0.000680,-0.011100,0.032922
22.208,-0.000680,-0.011028,0.032794
22.240,-0.000680,-0.010956,0.032665
22.272,-0.000680,-0.010884,0.032536
22.304,-0.000680,-0.010812,0.032407
22.336,-0.000680,-0.010741,0.032278
22.368,-0.000680,-0.010670,0.032149
22.400,-0.000680,-0.010600,0.032020
22.432,-0.000680,-0.010529,0.031890
22.464,-0.000680,-0.010459,0.031760
22.496,-0.000680,-0.010389,0.031630
22.528,-0.000680,-0.010319,0.031500
22.560,-0.000680,-0.010250,0.031370
22.592,-0.000680,-0.010194,0.031265
22.656,-0.000680,-0.010130,0.031144
