H2,L_spine,beta,xA,yA,xP,yP,tA_x,tA_y,nA_x,nA_y,tP_x,tP_y,nP_x,nP_y
0,5,-0.7853981633974483,,,,,,,,,,,,
0,5,-0.6283185307179586,,,,,,,,,,,,
0,5,-0.47123889803846897,,,,,,,,,,,,
0,5,-0.3141592653589793,,,,,,,,,,,,
0,5,-0.15707963267948966,,,,,,,,,,,,
0,5,0.0,,,,,,,,,,,,
0,5,0.15707963267948966,,,,,,,,,,,,
0,5,0.3141592653589793,,,,,,,,,,,,
0,5,0.47123889803846897,,,,,,,,,,,,
0,5,0.6283185307179586,,,,,,,,,,,,
0,5,0.7853981633974483,,,,,,,,,,,,
0,6,-0.7853981633974483,,,,,,,,,,,,
0,6,-0.6283185307179586,,,,,,,,,,,,
0,6,-0.47123889803846897,,,,,,,,,,,,
0,6,-0.3141592653589793,,,,,,,,,,,,
0,6,-0.15707963267948966,,,,,,,,,,,,
0,6,0.0,,,,,,,,,,,,
0,6,0.15707963267948966,,,,,,,,,,,,
0,6,0.3141592653589793,,,,,,,,,,,,
0,6,0.47123889803846897,,,,,,,,,,,,
0,6,0.6283185307179586,,,,,,,,,,,,
0,6,0.7853981633974483,,,,,,,,,,,,
0,7,-0.7853981633974483,,,,,,,,,,,,
0,7,-0.6283185307179586,,,,,,,,,,,,
0,7,-0.47123889803846897,,,,,,,,,,,,
0,7,-0.3141592653589793,,,,,,,,,,,,
0,7,-0.15707963267948966,,,,,,,,,,,,
0,7,0.0,,,,,,,,,,,,
0,7,0.15707963267948966,,,,,,,,,,,,
0,7,0.3141592653589793,,,,,,,,,,,,
0,7,0.47123889803846897,,,,,,,,,,,,
0,7,0.6283185307179586,,,,,,,,,,,,
0,7,0.7853981633974483,,,,,,,,,,,,
0,8,-0.7853981633974483,,,,,,,,,,,,
0,8,-0.6283185307179586,,,,,,,,,,,,
0,8,-0.47123889803846897,,,,,,,,,,,,
0,8,-0.3141592653589793,,,,,,,,,,,,
0,8,-0.15707963267948966,3.8505379717239876,1.0832161964777487,11.75204469648509,2.3346919167995956,-0.2708040491194372,0.9626344929309969,0.9626344929309969,0.2708040491194372,-0.5836729791998989,-0.8119888258787276,-0.8119888258787276,0.5836729791998989
0,8,0.0,3.5,1.9364916731037083,11.5,1.9364916731037083,-0.48412291827592707,0.875,0.875,0.48412291827592707,-0.48412291827592707,-0.875,-0.875,0.48412291827592707
0,8,0.15707963267948966,3.24795530351491,2.3346919167995956,11.149462028276012,1.0832161964777487,-0.5836729791998989,0.8119888258787274,0.8119888258787274,0.5836729791998989,-0.2708040491194372,-0.9626344929309969,-0.9626344929309969,0.2708040491194372
0,8,0.3141592653589793,,,,,,,,,,,,
0,8,0.47123889803846897,,,,,,,,,,,,
0,8,0.6283185307179586,,,,,,,,,,,,
0,8,0.7853981633974483,,,,,,,,,,,,
0,9,-0.7853981633974483,,,,,,,,,,,,
0,9,-0.6283185307179586,,,,,,,,,,,,
0,9,-0.47123889803846897,,,,,,,,,,,,
0,9,-0.3141592653589793,3.982433053606385,0.3744689219993072,12.541941700262766,3.155621871373834,-0.0936172304998268,0.9956082634015962,0.9956082634015964,0.09361723049982681,-0.7889054678434586,-0.6145145749343085,-0.6145145749343085,0.7889054678434586
0,9,-0.15707963267948966,3.6130391975451586,1.7163763448038538,12.5022342629014,3.1242865301659317,-0.42909408620096345,0.9032597993862896,0.9032597993862896,0.42909408620096345,-0.7810716325414832,-0.6244414342746503,-0.6244414342746503,0.7810716325414832
0,9,0.0,3.0,2.6457513110645907,12.0,2.6457513110645907,-0.6614378277661477,0.75,0.75,0.6614378277661477,-0.6614378277661477,-0.75,-0.75,0.6614378277661477
0,9,0.15707963267948966,2.497765737098602,3.1242865301659317,11.386960802454842,1.7163763448038538,-0.7810716325414829,0.6244414342746505,0.6244414342746505,0.7810716325414829,-0.42909408620096356,-0.9032597993862896,-0.9032597993862896,0.42909408620096356
0,9,0.3141592653589793,2.4580582997372344,3.1556218713738335,11.017566946393615,0.3744689219993069,-0.7889054678434585,0.6145145749343087,0.6145145749343087,0.7889054678434585,-0.09361723049982673,-0.9956082634015964,-0.9956082634015964,0.09361723049982673
0,9,0.47123889803846897,,,,,,,,,,,,
0,9,0.6283185307179586,,,,,,,,,,,,
0,9,0.7853981633974483,,,,,,,,,,,,
0,10,-0.7853981633974483,,,,,,,,,,,,
0,10,-0.6283185307179586,,,,,,,,,,,,
0,10,-0.47123889803846897,,,,,,,,,,,,
0,10,-0.3141592653589793,3.954213505425857,0.6034861667907185,13.464778668377392,3.693656110540193,-0.15087154169767966,0.9885533763564643,0.9885533763564643,0.15087154169767966,-0.9234140276350482,-0.3838053329056521,-0.3838053329056521,0.9234140276350482
0,10,-0.15707963267948966,3.429195261198998,2.059276538148856,13.306078667150377,3.6236211885511644,-0.514819134537214,0.8572988152997495,0.8572988152997495,0.514819134537214,-0.9059052971377912,-0.4234803332124058,-0.4234803332124058,0.9059052971377912
0,10,0.0,2.5,3.122498999199199,12.5,3.122498999199199,-0.7806247497997998,0.625,0.625,0.7806247497997998,-0.7806247497997998,-0.625,-0.625,0.7806247497997998
